Câu hỏi,DeepSeek đúng,Gemini đúng,OpenAI đúng
13. Trường có bao nhiêu cơ sở đào tạo? Diện tích từng cơ sở là bao nhiêu?,True,False,True
14. Địa chỉ ký túc xá sinh viên là gì và có diện tích bao nhiêu?,True,False,True
20. Điều kiện để sinh viên được tham gia đề tài nghiên cứu khoa học là gì?,False,False,False
21. Sinh viên được hưởng quyền lợi gì khi tham gia nghiên cứu khoa học?,False,False,False
23. Sinh viên có thể xem chi tiết về quy định nghiên cứu khoa học ở đâu?,True,True,False
24. Tạp chí Khoa học Đại học Sài Gòn có mã ISSN là gì? Địa chỉ liên hệ và website là gì?,False,False,False
27. Những quy định về nội dung và hình thức bài báo đăng trên Tạp chí là gì?,False,True,False
28. Tạp chí sử dụng quy chuẩn trích dẫn nào cho các lĩnh vực Khoa học Tự nhiên và Xã hội?,False,False,False
29. Những yêu cầu kỹ thuật đối với hình minh họa trong bài báo là gì?,True,False,False
30. Những điều cần lưu ý khi trích dẫn tài liệu tham khảo viết bằng tiếng nước ngoài?,False,False,False
