Câu hỏi,Đáp án chuẩn,DeepSeek trả lời,Gemini trả lời,OpenAI trả lời,DeepSeek True/False,Gemini True/False,OpenAI True/False
1. Trường Đại học Sài Gòn là loại hình cơ sở giáo dục nào và trực thuộc cơ quan nào?,Trường Đại học Sài Gòn là cơ sở giáo dục đại học công lập trực thuộc Ủy ban Nhân dân TP. Hồ Chí Minh.,Trường Đại học Sài Gòn. Trường Đại học công lập trực thuộc UBND TP. Hồ Chí Minh,Trường Đại học Sài Gòn. Cơ sở giáo dục Đại học công lập trực thuộc UBND TP. Hồ Chí Minh,Trường Đại học Sài Gòn. Trường Đại học Sài Gòn là cơ sở giáo dục Đại học công lập trực thuộc UBND TP. Hồ Chí Minh,True,True,True
2. Trường Đại học Sài Gòn chịu sự quản lý của bộ nào về giáo dục?,Trường chịu sự quản lý nhà nước về giáo dục của Bộ Giáo dục và Đào tạo.,Quản lý Giáo dục (Thạc sĩ). Chương trình đào tạo thạc sĩ quản lý giáo dục,Quản lý Giáo dục. Chương trình đào tạo đại học hệ chính quy,Quản lý Giáo dục. Chương trình đào tạo ngành Quản lý Giáo dục.,True,True,True
3. Trường đào tạo theo những phương thức nào?,"Trường đào tạo theo hai phương thức: chính quy và giáo dục thường xuyên (bao gồm vừa làm vừa học, văn bằng hai, liên thông).",Phòng Giáo dục thường xuyên. Quản lý đào tạo không chính quy,Đào tạo văn bằng thứ hai. Loại hình đào tạo thuộc hệ Giáo dục thường xuyên tại Trường Đại học Sài Gòn,Chương trình giáo dục thường xuyên. Chương trình đào tạo dành cho người học vừa làm vừa học.,True,True,True
"4. Trường có bao nhiêu chuyên ngành đào tạo tiến sĩ, cao học và đại học?","Trường có 05 chuyên ngành đào tạo tiến sĩ, 12 chuyên ngành cao học và 39 chương trình đào tạo trình độ đại học.",Thạc sĩ. Trình độ sau đại học với 12 chuyên ngành cao học,Chương trình đào tạo Cao học. Chương trình đào tạo cấp bằng Cao học tại Trường Đại học Sài Gòn,Chương trình đại trà. Chương trình đại trà cho các ngành đào tạo đại học.,True,True,True
5. Những lĩnh vực đào tạo chính của trường là gì?,"Các lĩnh vực đào tạo chính bao gồm: Kinh tế, Kỹ thuật, Công nghệ, Văn hóa xã hội, Chính trị, Nghệ thuật và Sư phạm.",Kinh tế - Kỹ thuật - Công nghệ. Lĩnh vực đào tạo về kinh tế,Chương trình Cử nhân Quốc tế Quản trị Kinh doanh và Quản lý Thương mại Điện tử. Chương trình liên kết đào tạo cấp bằng Cử nhân giữa Trường Đại học Sài Gòn và Trường Đại học Khoa học Ứng dụng IMC Krems (Cộng hòa Áo),Khoa Kỹ thuật. Khoa Kỹ thuật đào tạo các chuyên ngành kỹ thuật và công nghệ.,True,True,True
"6. Trường có được chứng nhận kiểm định chất lượng giáo dục không? Nếu có, vào thời điểm nào?",Có. Trường được cấp Giấy chứng nhận kiểm định chất lượng giáo dục ngày 13/5/2017.,Kiểm định chất lượng giáo dục. Được chứng nhận kiểm định chất lượng giáo dục trường đại học vào ngày 13/5/2017,Bộ môn Giáo dục Quốc phòng & An ninh - Giáo dục Thể chất. Đơn vị chuyên môn thuộc Trường Đại học Sài Gòn,Đề tài Nghiên cứu khoa học cấp cơ sở. Sinh viên tham gia thực hiện đề tài NCKH trong thời gian từ 06 – 09 tháng dưới sự hướng dẫn của Giảng viên.,True,True,True
7. Trường đào tạo hệ chính quy bao gồm những ngành nào?,"Trường đào tạo 39 ngành trình độ đại học như: Giáo dục Chính trị, Du lịch, Mầm non, Kế toán, Tiểu học, Khoa học Môi trường, Âm nhạc, Kinh doanh Quốc tế, v.v.",Giáo dục Tiểu học - Khoa học Môi trường. Chương trình đào tạo kết hợp giáo dục tiểu học và khoa học môi trường,Giáo dục Tiểu học. Chương trình đào tạo đại học hệ chính quy,Giáo dục Tiểu học - Khoa học Môi trường. Chương trình đào tạo ngành Giáo dục Tiểu học - Khoa học Môi trường.,True,True,True
8. Chương trình chất lượng cao của trường hiện tại là ngành nào?,Chương trình chất lượng cao hiện tại là ngành Công nghệ Thông tin.,Công nghệ Thông tin (Chất lượng cao). Chương trình đào tạo công nghệ thông tin chất lượng cao,Công nghệ Thông tin (Chất lượng cao). Chương trình đào tạo đại học hệ chính quy,Công nghệ Thông tin - Việt Nam học. Chương trình đào tạo ngành Công nghệ Thông tin - Việt Nam học.,True,True,True
9. Các ngành đào tạo trình độ sau đại học là gì?,"Các ngành sau đại học gồm: Hóa hữu cơ, Hóa lý thuyết và Hóa lý, Khoa học Máy tính, Toán Giải tích, Lịch sử Việt Nam, Văn học Việt Nam, v.v.",Phòng Quản lý khoa học. Quản lý hoạt động nghiên cứu khoa học,Đề tài Nghiên cứu khoa học sinh viên cấp cơ sở. Hoạt động nghiên cứu khoa học dành cho sinh viên Trường Đại học Sài Gòn,Tôn chỉ. Là diễn đàn khoa học công bố các kết quả nghiên cứu và hoạt động khoa học của cán bộ,True,True,True
10. Trình độ tiến sĩ hiện có những ngành nào được đào tạo?,"Trình độ tiến sĩ đào tạo các ngành: Hóa hữu cơ, Lịch sử Việt Nam, Quản lý Giáo dục, Toán Giải tích, Quản trị Kinh doanh.",Hóa hữu cơ (Tiến sĩ). Chương trình đào tạo tiến sĩ hóa hữu cơ,Chương trình đào tạo tiếng Hoa (Đài Loan). Chương trình liên kết đào tạo tiếng Hoa (Đài Loan) giữa Trường Đại học Sài Gòn và Hiệp hội Phát triển Kinh tế Văn hóa Giáo dục Đài Việt. Bao gồm các nội dung: Hoa ngữ giao tiếp,Chương trình đào tạo tiếng Hoa. Chương trình liên kết với Hiệp hội Phát triển Kinh tế Văn hóa Giáo dục Đài Việt.,True,True,True
