Câu hỏi,Đáp án chuẩn
Trường Đại học Sài Gòn là loại hình cơ sở giáo dục nào và trực thuộc cơ quan nào?,Trường Đại học Sài Gòn là cơ sở giáo dục đại học công lập trực thuộc Ủy ban nhân dân Thành phố Hồ Chí Minh.
Trường Đại học Sài Gòn chịu sự quản lý của bộ nào về giáo dục?,Trường chịu sự quản lý nhà nước về giáo dục của Bộ Giáo dục và Đào tạo.
Trường đào tạo theo những phương thức nào?,"Trường đào tạo theo hai phương thức: chính quy và giáo dục thường xuyên (gồm vừa làm vừa học, văn bằng hai, và liên thông)."
"Trường có bao nhiêu chuyên ngành đào tạo tiến sĩ, cao học và đại học?","Trường có 05 chuyên ngành đào tạo trình độ tiến sĩ, 12 chuyên ngành đào tạo trình độ thạc sĩ và 39 chương trình đào tạo trình độ đại học."
Những lĩnh vực đào tạo chính của trường là gì?,"Các lĩnh vực đào tạo chính bao gồm: Kinh tế, Kỹ thuật, Công nghệ, Văn hóa xã hội, Chính trị, Nghệ thuật và Sư phạm."
"Trường có được chứng nhận kiểm định chất lượng giáo dục không? Nếu có, vào thời điểm nào?",Trường đã được cấp Giấy chứng nhận kiểm định chất lượng giáo dục vào ngày 13/5/2017.
Trường đào tạo hệ chính quy bao gồm những ngành nào?,"Trường đào tạo hệ chính quy 39 ngành bao gồm: Giáo dục Chính trị, Giáo dục Mầm non, Giáo dục Tiểu học, Quản lý Giáo dục, Ngôn ngữ Anh, Văn học, Lịch sử, Việt Nam học, Toán học, Hóa học, Sinh học ứng dụng, Khoa học môi trường, CNTT, Công nghệ kỹ thuật điện - điện tử, Quản trị Kinh doanh, Tài chính - Ngân hàng, Kế toán, Luật, Âm nhạc, Mỹ thuật, và Giáo dục Thể chất."
Chương trình chất lượng cao của trường hiện tại là ngành nào?,Ngành Công nghệ Thông tin là chương trình chất lượng cao hiện tại của Trường Đại học Sài Gòn.
Các ngành đào tạo trình độ sau đại học là gì?,"Các ngành sau đại học bao gồm: Hóa hữu cơ, Hóa lý thuyết và Hóa lý, Khoa học máy tính, Toán giải tích, Lịch sử Việt Nam, Văn học Việt Nam, Ngôn ngữ học, Quản lý giáo dục và Luật dân sự và tố tụng dân sự."
Trình độ tiến sĩ hiện có những ngành nào được đào tạo?,"Trường hiện có 05 ngành đào tạo trình độ tiến sĩ: Hóa hữu cơ, Lịch sử Việt Nam, Quản lý giáo dục, Toán giải tích và Quản trị kinh doanh."
Các ngành đào tạo theo hình thức giáo dục thường xuyên gồm những gì?,"Giáo dục thường xuyên gồm các hình thức: vừa làm vừa học, liên thông, văn bằng hai ở các ngành như: CNTT, Quản trị kinh doanh, Kế toán, Giáo dục mầm non, Giáo dục tiểu học, Tài chính - ngân hàng và Luật."
Trường đào tạo văn bằng hai ở những ngành nào?,"Các ngành văn bằng hai gồm: Ngôn ngữ Anh, Kế toán, Luật, Quản trị kinh doanh, Giáo dục tiểu học và Quản lý giáo dục."
Trường có bao nhiêu cơ sở đào tạo? Diện tích từng cơ sở là bao nhiêu?,"Trường có ba cơ sở: Cơ sở 273 An Dương Vương (42.743 m²), Cơ sở 105 Bà Huyện Thanh Quan (4.823 m²), và Cơ sở 04 Tôn Đức Thắng (19.655 m²)."
Địa chỉ ký túc xá sinh viên là gì và có diện tích bao nhiêu?,"Ký túc xá của Trường nằm tại 99 An Dương Vương, Quận 8, có diện tích 4.800 m²."
Trường Đại học Sài Gòn có hợp tác với các quốc gia nào?,"Trường hợp tác quốc tế với các quốc gia: Hoa Kỳ, Anh, Nga, Pháp, Úc, Trung Quốc, Singapore, Malaysia, Áo, New Zealand và Thụy Điển."
Trường có chương trình cử nhân quốc tế nào và liên kết với trường nào?,Trường có chương trình Cử nhân quốc tế ngành Quản trị Kinh doanh và Quản lý Thương mại điện tử liên kết với Đại học Khoa học Ứng dụng IMC Krems (Áo).
Trường có những chương trình đào tạo tiếng Hoa nào?,Trường triển khai đào tạo tiếng Hoa thông qua hợp tác với Trung tâm Hoa Ngữ Sư phạm Đài Loan.
Các chương trình học bổng tiêu biểu mà sinh viên SGU có thể tham gia là gì?,"Các chương trình học bổng tiêu biểu bao gồm học bổng Bộ Y tế Singapore (Asian Nursing), học bổng Bộ Giáo dục Đài Loan và các trường đại học đối tác tại Đài Loan."
Những chương trình liên kết đào tạo nào đang được triển khai tại SGU?,"Các chương trình liên kết đào tạo đang triển khai gồm liên kết chuyển tiếp ngành CNTT, Ngôn ngữ Anh, TESOL với Đại học Huddersfield (Anh), và chương trình quốc tế với IMC Krems (Áo)."
Điều kiện để sinh viên được tham gia đề tài nghiên cứu khoa học là gì?,"Sinh viên phải có kết quả học tập từ trung bình trở lên, không bị kỷ luật và không có đề tài bị hủy hoặc không đạt trong năm trước."
Sinh viên được hưởng quyền lợi gì khi tham gia nghiên cứu khoa học?,"Quyền lợi gồm: được hỗ trợ kinh phí, cấp giấy chứng nhận, cộng điểm rèn luyện, xét thưởng, tham gia các cuộc thi và hội nghị khoa học."
Những loại bài báo nào sẽ được xét thưởng và cộng điểm rèn luyện?,Những bài báo đăng trong tạp chí chuyên ngành hoặc kỷ yếu hội thảo khoa học sẽ được xét thưởng và cộng điểm rèn luyện.
Sinh viên có thể xem chi tiết về quy định nghiên cứu khoa học ở đâu?,Sinh viên có thể xem quy định nghiên cứu khoa học trong chương 7 của Quy chế quản lý hoạt động Khoa học và Công nghệ hoặc liên hệ trợ lý NCKH của Khoa.
Tạp chí Khoa học Đại học Sài Gòn có mã ISSN là gì? Địa chỉ liên hệ và website là gì?,"Tạp chí Khoa học Đại học Sài Gòn có mã ISSN: 1859-3208, địa chỉ tại 273 An Dương Vương, Quận 5, TP.HCM, website: http://sj.sgu.edu.vn."
Đối tượng phục vụ của Tạp chí là ai?,"Tạp chí phục vụ cán bộ giảng dạy, nghiên cứu, quản lý và sinh viên của trường cũng như các viện, học viện, trung tâm nghiên cứu trong và ngoài nước."
Tạp chí công bố những loại bài viết nào?,"Tạp chí công bố các bài báo nghiên cứu khoa học, kết quả giảng dạy, học tập, báo cáo khoa học."
Những quy định về nội dung và hình thức bài báo đăng trên Tạp chí là gì?,"Bài báo cần nêu rõ mục tiêu, kết quả mới, có giá trị khoa học, được phản biện và có chú thích cùng tài liệu tham khảo."
Tạp chí sử dụng quy chuẩn trích dẫn nào cho các lĩnh vực Khoa học Tự nhiên và Xã hội?,"Chuẩn trích dẫn: IEEE cho các lĩnh vực Khoa học Tự nhiên, APA cho các lĩnh vực Khoa học Xã hội và Giáo dục."
Những yêu cầu kỹ thuật đối với hình minh họa trong bài báo là gì?,"Hình minh họa yêu cầu có độ phân giải tối thiểu 300dpi, định dạng có thể là JPG, PNG, BMP hoặc EPS, PDF, AI."
Những điều cần lưu ý khi trích dẫn tài liệu tham khảo viết bằng tiếng nước ngoài?,"Khi trích dẫn tài liệu tiếng nước ngoài cần giữ nguyên tên riêng, ghi đầy đủ nguồn, mã đề tài nếu có và tuân thủ chuẩn trích dẫn."
