Câu hỏi,Câu trả lời
1. Trường Đại học Sài Gòn là loại hình cơ sở giáo dục nào và trực thuộc cơ quan nào?,"Trường Đại học Sài Gòn là trường đại học công lập, trực thuộc Ủy ban nhân dân Thành phố Hồ Chí Minh."
2. Trường Đại học Sài Gòn chịu sự quản lý của bộ nào về giáo dục?,"Trường chịu sự quản lý chuyên môn về giáo dục của Bộ Giáo dục và Đào tạo, và trực thuộc UBND TP.HCM về mặt tổ chức và tài chính."
3. Trường đào tạo theo những phương thức nào?,"Trường đào tạo theo các phương thức: chính quy, vừa làm vừa học, văn bằng hai, đào tạo sau đại học, liên thông và bồi dưỡng thường xuyên."
"4. Trường có bao nhiêu chuyên ngành đào tạo tiến sĩ, cao học và đại học?","Hiện trường có khoảng 35 ngành đại học, 6 ngành thạc sĩ và chưa đào tạo tiến sĩ."
5. Những lĩnh vực đào tạo chính của trường là gì?,"Lĩnh vực đào tạo chính gồm: sư phạm, khoa học tự nhiên, kỹ thuật - công nghệ, kinh tế, xã hội - nhân văn, và nghệ thuật."
"6. Trường có được chứng nhận kiểm định chất lượng giáo dục không? Nếu có, vào thời điểm nào?",Trường đã được kiểm định và công nhận đạt chuẩn chất lượng giáo dục theo quy định của Bộ Giáo dục và Đào tạo. Thời điểm cụ thể cần tham khảo trên trang web chính thức của trường.
7. Trường đào tạo hệ chính quy bao gồm những ngành nào?,"Trường đào tạo hệ chính quy với các ngành như: Sư phạm Toán, Sư phạm Vật lý, Sư phạm Hóa học, Sư phạm Sinh học, Sư phạm Ngữ văn, Sư phạm Lịch sử, Sư phạm Địa lý, Giáo dục Tiểu học, Giáo dục Mầm non, Công nghệ thông tin, Kế toán, Quản trị kinh doanh, và nhiều ngành khác."
8. Chương trình chất lượng cao của trường hiện tại là ngành nào?,"Hiện tại, trường triển khai chương trình chất lượng cao cho ngành Công nghệ thông tin."
9. Các ngành đào tạo trình độ sau đại học là gì?,"Các ngành đào tạo trình độ thạc sĩ bao gồm: Lý luận và phương pháp dạy học bộ môn Toán, Lý luận và phương pháp dạy học bộ môn Vật lý, Lý luận và phương pháp dạy học bộ môn Âm nhạc, Lý luận và phương pháp dạy học bộ môn Lịch sử, Quản lý giáo dục, và Văn học Việt Nam."
10. Trình độ tiến sĩ hiện có những ngành nào được đào tạo?,"Hiện tại, trường chưa đào tạo trình độ tiến sĩ."
11. Các ngành đào tạo theo hình thức giáo dục thường xuyên gồm những gì?,"Trường tổ chức các lớp bồi dưỡng, nâng cao nghiệp vụ, kỹ năng nghề nghiệp cho giáo viên và cán bộ quản lý giáo dục."
12. Trường đào tạo văn bằng hai ở những ngành nào?,"Trường đào tạo văn bằng hai ở các ngành như: Sư phạm Toán, Sư phạm Ngữ văn, Giáo dục Tiểu học, Công nghệ thông tin, Kế toán, và Quản trị kinh doanh."
13. Trường có bao nhiêu cơ sở đào tạo? Diện tích từng cơ sở là bao nhiêu?,"Trường có cơ sở chính tại 273 An Dương Vương, Phường 3, Quận 5, TP.HCM. Thông tin về các cơ sở khác và diện tích cụ thể cần tham khảo trên trang web chính thức của trường."
14. Địa chỉ ký túc xá sinh viên là gì và có diện tích bao nhiêu?,"Ký túc xá sinh viên nằm tại 43 An Dương Vương, Phường 16, Quận 8, TP.HCM. Diện tích cụ thể cần tham khảo trên trang web chính thức của trường."
15. Trường Đại học Sài Gòn có hợp tác với các quốc gia nào?,"Trường phát triển các chương trình hợp tác liên kết đào tạo với các trường, tổ chức đào tạo quốc tế có uy tín nhằm phục vụ cho sự phát triển của đào tạo đại học và sau đại học theo chuẩn quốc tế."
